EntryID,ServiceType,SPStartDateTime,SPEndDateTime,WindowPrice,CreatedTime,PartyID,AssetID
68339,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,99,2026-01-01T00:45:11,HABITAT ENERGY LIMITED,OFR-HAB-1
68340,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,99,2026-01-01T00:45:11,HABITAT ENERGY LIMITED,OFR-HAB-7
68341,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,100,2026-01-01T00:45:11,HABITAT ENERGY LIMITED,OFR-HAB-3
68342,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,99,2026-01-01T00:45:11,HABITAT ENERGY LIMITED,OFR-HAB-6
68343,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,100,2026-01-01T00:45:11,HABITAT ENERGY LIMITED,OFR-HAB-4
68344,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,101,2026-01-01T00:54:39,HABITAT ENERGY LIMITED,OFR-HAB-2
68345,Non-BM Fast Reserve,2026-01-01T00:30:00,2026-01-01T01:00:00,102,2026-01-01T00:54:39,HABITAT ENERGY LIMITED,OFR-HAB-5
68339,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,99,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-1
68340,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,99,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-7
68341,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,100,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-3
68342,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,99,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-6
68343,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,100,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-4
68344,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,101,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-2
68345,Non-BM Fast Reserve,2026-01-01T01:00:00,2026-01-01T01:30:00,102,2026-01-01T01:01:00,HABITAT ENERGY LIMITED,OFR-HAB-5
68339,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,99,2026-01-01T01:31:00,HABITAT ENERGY LIMITED,OFR-HAB-1
68340,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,99,2026-01-01T01:31:00,HABITAT ENERGY LIMITED,OFR-HAB-7
68341,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,100,2026-01-01T01:31:00,HABITAT ENERGY LIMITED,OFR-HAB-3
68342,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,99,2026-01-01T01:31:00,HABITAT ENERGY LIMITED,OFR-HAB-6
68343,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,100,2026-01-01T01:31:00,HABITAT ENERGY LIMITED,OFR-HAB-4
68344,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,101,2026-01-01T01:52:09,HABITAT ENERGY LIMITED,OFR-HAB-2
68345,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,102,2026-01-01T01:50:40,HABITAT ENERGY LIMITED,OFR-HAB-5
68346,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,113,2026-01-01T01:50:40,UKPR,OFR-UKPR-6
68347,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,86.2,2026-01-01T01:34:39,ENWL,OFR-ENWL-1
68348,Non-BM Fast Reserve,2026-01-01T01:30:00,2026-01-01T02:00:00,112,2026-01-01T01:50:40,UKPR,OFR-UKPR-3
68339,Non-BM Fast Reserve,2026-01-01T02:00:00,2026-01-01T02:30:00,99,2026-01-01T02:01:00,HABITAT ENERGY LIMITED,OFR-HAB-1
