ValueDate,Derived MVA,MVAr Inst,MW Inst,Volts Inst
2026-02-25T00:05:00+00:00,1.789,0.613,1.671,11.169
2026-02-25T00:10:00+00:00,1.723,0.606,1.608,11.173
2026-02-25T00:15:00+00:00,1.726,0.601,1.616,11.189
2026-02-25T00:20:00+00:00,1.764,0.61,1.649,11.204
2026-02-25T00:25:00+00:00,1.757,0.622,1.638,11.215
2026-02-25T00:30:00+00:00,1.731,0.615,1.61,11.186
2026-02-25T00:35:00+00:00,1.707,0.602,1.589,11.138
2026-02-25T00:40:00+00:00,1.674,0.612,1.546,11.203
2026-02-25T00:45:00+00:00,1.62,0.603,1.493,11.264
2026-02-25T00:50:00+00:00,1.657,0.608,1.528,11.24
2026-02-25T00:55:00+00:00,1.668,0.611,1.539,11.205
2026-02-25T01:00:00+00:00,1.665,0.613,1.532,11.163
2026-02-25T01:05:00+00:00,1.666,0.6,1.543,11.144
2026-02-25T01:10:00+00:00,1.626,0.597,1.509,11.15
2026-02-25T01:15:00+00:00,1.594,0.595,1.474,11.157
2026-02-25T01:20:00+00:00,1.635,0.607,1.512,11.164
2026-02-25T01:25:00+00:00,1.658,0.607,1.536,11.171
2026-02-25T01:30:00+00:00,1.65,0.595,1.534,11.177
2026-02-25T01:35:00+00:00,1.675,0.602,1.559,11.184
2026-02-25T01:40:00+00:00,1.694,0.608,1.582,11.191
2026-02-25T01:45:00+00:00,1.692,0.602,1.575,11.199
2026-02-25T01:50:00+00:00,1.702,0.634,1.579,11.21
2026-02-25T01:55:00+00:00,1.659,0.596,1.541,11.222
2026-02-25T02:00:00+00:00,1.671,0.595,1.552,11.234
2026-02-25T02:05:00+00:00,1.672,0.598,1.55,11.247
2026-02-25T02:10:00+00:00,1.685,0.596,1.574,11.265
2026-02-25T02:15:00+00:00,1.658,0.607,1.536,11.247
2026-02-25T02:20:00+00:00,1.649,0.609,1.523,11.142
2026-02-25T02:25:00+00:00,1.117,0.689,0.866,11.168
2026-02-25T02:30:00+00:00,1.137,0.688,0.892,11.206
2026-02-25T02:35:00+00:00,1.56,0.625,1.417,11.24
2026-02-25T02:40:00+00:00,1.69,0.598,1.572,11.291
2026-02-25T02:45:00+00:00,1.754,0.609,1.636,11.259
2026-02-25T02:50:00+00:00,1.77,0.606,1.651,11.197
2026-02-25T02:55:00+00:00,1.786,0.611,1.669,11.141
2026-02-25T03:00:00+00:00,1.805,0.625,1.681,11.107
2026-02-25T03:05:00+00:00,1.816,0.608,1.699,11.099
2026-02-25T03:10:00+00:00,1.817,0.605,1.703,11.212
2026-02-25T03:15:00+00:00,1.79,0.61,1.671,11.235
2026-02-25T03:20:00+00:00,1.795,0.615,1.678,11.242
2026-02-25T03:25:00+00:00,1.789,0.616,1.673,11.213
2026-02-25T03:30:00+00:00,1.791,0.594,1.682,11.289
2026-02-25T03:35:00+00:00,1.798,0.597,1.688,11.252
2026-02-25T03:40:00+00:00,1.833,0.619,1.718,11.212
2026-02-25T03:45:00+00:00,1.807,0.615,1.695,11.197
2026-02-25T03:50:00+00:00,1.811,0.617,1.701,11.181
2026-02-25T03:55:00+00:00,1.815,0.632,1.699,11.165
2026-02-25T04:00:00+00:00,1.81,0.618,1.695,11.196
2026-02-25T04:05:00+00:00,1.807,0.613,1.693,11.186
2026-02-25T04:10:00+00:00,1.826,0.632,1.706,11.161
2026-02-25T04:15:00+00:00,1.816,0.624,1.702,11.212
2026-02-25T04:20:00+00:00,1.809,0.605,1.69,11.25
2026-02-25T04:25:00+00:00,1.841,0.603,1.728,11.178
2026-02-25T04:30:00+00:00,1.856,0.614,1.741,11.177
2026-02-25T04:35:00+00:00,1.832,0.611,1.721,11.204
2026-02-25T04:40:00+00:00,1.855,0.615,1.74,11.187
2026-02-25T04:45:00+00:00,1.866,0.618,1.75,11.159
2026-02-25T04:50:00+00:00,1.854,0.632,1.737,11.2
2026-02-25T04:55:00+00:00,1.821,0.626,1.708,11.255
2026-02-25T05:00:00+00:00,1.854,0.631,1.736,11.265
2026-02-25T05:05:00+00:00,1.867,0.63,1.748,11.245
