EntryID,ServiceType,InstructionStartDateTime,MW,IndicativePrice,InstructionCeaseDateTime,DispatchDateTimeStamp,CeaseDateTimeStamp,PartyID,AssetID,Tendered
65195,Non-BM Fast Reserve,2025-11-01T01:03:00,50,80,2025-11-01T01:46:00,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
65193,Non-BM Fast Reserve,2025-11-01T01:03:00,28,80,2025-11-01T01:46:00,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
65197,Non-BM Fast Reserve,2025-11-01T01:03:00,45,82,2025-11-01T01:45:55,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
65196,Non-BM Fast Reserve,2025-11-01T01:03:00,50,81,2025-11-01T01:46:00,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
65194,Non-BM Fast Reserve,2025-11-01T01:03:00,50,80,2025-11-01T01:46:00,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
65198,Non-BM Fast Reserve,2025-11-01T01:03:00,40,81,2025-11-01T01:45:48,2025-11-01T01:00:37,2025-11-01T01:44:38,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
65201,Non-BM Fast Reserve,2025-11-01T03:10:00,50,81,2025-11-01T03:50:00,2025-11-01T03:07:40,2025-11-01T03:48:41,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
65199,Non-BM Fast Reserve,2025-11-01T03:10:00,40,81,2025-11-01T03:49:48,2025-11-01T03:07:40,2025-11-01T03:48:41,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
65200,Non-BM Fast Reserve,2025-11-01T03:10:00,50,80,2025-11-01T03:50:00,2025-11-01T03:07:40,2025-11-01T03:48:41,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
65202,Non-BM Fast Reserve,2025-11-01T03:10:00,28,80,2025-11-01T03:50:00,2025-11-01T03:07:40,2025-11-01T03:48:41,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
65203,Non-BM Fast Reserve,2025-11-01T03:10:00,50,80,2025-11-01T03:50:00,2025-11-01T03:07:40,2025-11-01T03:48:41,HABITAT ENERGY LIMITED,OFR-HAB-7,Non-tendered
65206,Non-BM Fast Reserve,2025-11-01T12:19:00,55,64.9,2025-11-01T13:08:55,2025-11-01T12:16:23,2025-11-01T13:07:54,ENWL,OFR-ENWL-1,Non-tendered
65205,Non-BM Fast Reserve,2025-11-01T12:19:00,50,123,2025-11-01T12:50:00,2025-11-01T12:16:23,2025-11-01T12:47:23,UKPR,OFR-UKPR-5,Non-tendered
65209,Non-BM Fast Reserve,2025-11-01T12:19:00,50,80,2025-11-01T13:09:00,2025-11-01T12:16:23,2025-11-01T13:07:54,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
65210,Non-BM Fast Reserve,2025-11-01T12:19:00,60,124,2025-11-01T12:50:00,2025-11-01T12:16:23,2025-11-01T12:47:23,UKPR,OFR-UKPR-4,Non-tendered
65204,Non-BM Fast Reserve,2025-11-01T12:19:00,60,119,2025-11-01T12:52:00,2025-11-01T12:16:23,2025-11-01T12:49:23,UKPR,OFR-UKPR-2,Non-tendered
65211,Non-BM Fast Reserve,2025-11-01T12:19:00,25,81,2025-11-01T13:08:30,2025-11-01T12:16:23,2025-11-01T13:07:54,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
65208,Non-BM Fast Reserve,2025-11-01T12:19:00,40,81,2025-11-01T13:08:48,2025-11-01T12:16:23,2025-11-01T13:07:54,HABITAT ENERGY LIMITED,OFR-HAB-4,Non-tendered
65207,Non-BM Fast Reserve,2025-11-01T12:19:00,28,80,2025-11-01T13:09:00,2025-11-01T12:16:23,2025-11-01T13:07:54,HABITAT ENERGY LIMITED,OFR-HAB-6,Non-tendered
65212,Non-BM Fast Reserve,2025-11-01T12:19:00,50,81,2025-11-01T13:09:00,2025-11-01T12:16:23,2025-11-01T13:07:54,HABITAT ENERGY LIMITED,OFR-HAB-3,Non-tendered
65213,Non-BM Fast Reserve,2025-11-01T12:19:00,80,121.5,2025-11-01T12:50:00,2025-11-01T12:16:23,2025-11-01T12:47:23,UKPR,OFR-UKPR-3,Non-tendered
65214,Non-BM Fast Reserve,2025-11-01T12:19:00,45,82,2025-11-01T12:50:55,2025-11-01T12:16:23,2025-11-01T12:49:23,HABITAT ENERGY LIMITED,OFR-HAB-2,Non-tendered
65215,Non-BM Fast Reserve,2025-11-01T12:19:00,100,121,2025-11-01T12:52:00,2025-11-01T12:16:23,2025-11-01T12:49:23,UKPR,OFR-UKPR-6,Non-tendered
65216,Non-BM Fast Reserve,2025-11-01T12:22:00,54,127,2025-11-01T12:50:00,2025-11-01T12:19:23,2025-11-01T12:47:23,UKPR,OFR-UKPR-1,Non-tendered
65217,Non-BM Fast Reserve,2025-11-01T12:22:00,58,130,2025-11-01T12:50:00,2025-11-01T12:19:23,2025-11-01T12:47:23,UKPR,OFR-UKPR-7,Non-tendered
65218,Non-BM Fast Reserve,2025-11-01T14:23:00,25,112,2025-11-01T16:05:30,2025-11-01T14:21:25,2025-11-01T16:05:21,HABITAT ENERGY LIMITED,OFR-HAB-5,Non-tendered
65220,Non-BM Fast Reserve,2025-11-01T14:23:00,50,112,2025-11-01T16:06:00,2025-11-01T14:21:25,2025-11-01T16:05:21,HABITAT ENERGY LIMITED,OFR-HAB-1,Non-tendered
