ValueDate,Amps,MVA,MVAr,Volts
2025-11-06T00:05:00+00:00,17.0,1.0,1.0,33.901
2025-11-06T00:10:00+00:00,17.0,1.0,1.0,33.878
2025-11-06T00:15:00+00:00,17.0,1.0,1.0,33.898
2025-11-06T00:20:00+00:00,17.0,1.0,1.0,33.889
2025-11-06T00:25:00+00:00,17.0,1.0,1.0,33.88
2025-11-06T00:30:00+00:00,17.0,1.0,1.0,33.924
2025-11-06T00:35:00+00:00,17.0,1.0,1.0,33.886
2025-11-06T00:40:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T00:45:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T00:50:00+00:00,17.0,1.0,1.0,33.86
2025-11-06T00:55:00+00:00,17.0,1.0,1.0,33.9
2025-11-06T01:00:00+00:00,17.0,1.0,1.0,33.9
2025-11-06T01:05:00+00:00,17.0,1.0,1.0,33.904
2025-11-06T01:10:00+00:00,17.0,1.0,1.0,33.974
2025-11-06T01:15:00+00:00,17.0,1.0,1.0,34.0
2025-11-06T01:20:00+00:00,17.0,1.0,1.0,34.002
2025-11-06T01:25:00+00:00,17.0,1.0,1.0,34.048
2025-11-06T01:30:00+00:00,17.0,1.0,1.0,34.08
2025-11-06T01:35:00+00:00,17.0,1.0,1.0,34.032
2025-11-06T01:40:00+00:00,17.0,1.0,1.0,34.046
2025-11-06T01:45:00+00:00,17.0,1.0,1.0,34.1
2025-11-06T01:50:00+00:00,17.0,1.0,1.0,34.085
2025-11-06T01:55:00+00:00,17.0,1.0,1.0,34.1
2025-11-06T02:00:00+00:00,17.0,1.0,1.0,34.125
2025-11-06T02:05:00+00:00,17.0,1.0,1.0,34.098
2025-11-06T02:10:00+00:00,17.0,1.0,1.0,34.19
2025-11-06T02:15:00+00:00,17.0,1.0,1.0,34.205
2025-11-06T02:20:00+00:00,17.0,1.0,1.0,34.238
2025-11-06T02:25:00+00:00,17.0,1.0,1.0,34.275
2025-11-06T02:30:00+00:00,17.0,1.0,1.0,34.252
2025-11-06T02:35:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T02:40:00+00:00,17.0,1.0,1.0,33.721
2025-11-06T02:45:00+00:00,17.0,1.0,1.0,33.785
2025-11-06T02:50:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T02:55:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T03:00:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T03:05:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T03:10:00+00:00,17.0,1.0,1.0,33.71
2025-11-06T03:15:00+00:00,17.0,1.0,1.0,33.677
2025-11-06T03:20:00+00:00,17.0,1.0,1.0,33.698
2025-11-06T03:25:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T03:30:00+00:00,17.0,1.0,1.0,33.704
2025-11-06T03:35:00+00:00,17.0,1.0,1.0,33.763
2025-11-06T03:40:00+00:00,17.0,1.0,1.0,33.79
2025-11-06T03:45:00+00:00,17.0,1.0,1.0,33.812
2025-11-06T03:50:00+00:00,17.0,1.0,1.0,33.846
2025-11-06T03:55:00+00:00,17.0,1.0,1.0,33.706
2025-11-06T04:00:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:05:00+00:00,17.0,1.0,1.0,33.493
2025-11-06T04:10:00+00:00,17.0,1.0,1.0,33.71
2025-11-06T04:15:00+00:00,17.0,1.0,1.0,33.647
2025-11-06T04:20:00+00:00,17.0,1.0,1.0,33.649
2025-11-06T04:25:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:30:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:35:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:40:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:45:00+00:00,17.0,1.0,1.0,33.7
2025-11-06T04:50:00+00:00,17.0,1.0,1.0,33.695
2025-11-06T04:55:00+00:00,17.0,1.0,1.0,33.604
2025-11-06T05:00:00+00:00,17.0,1.0,1.0,33.647
2025-11-06T05:05:00+00:00,17.0,1.0,1.0,33.605
2025-11-06T05:10:00+00:00,17.0,1.0,1.0,33.611
2025-11-06T05:15:00+00:00,17.0,1.0,1.0,33.791
2025-11-06T05:20:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T05:25:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T05:30:00+00:00,17.0,1.0,1.0,33.8
2025-11-06T05:35:00+00:00,17.0,1.0,1.0,33.669
2025-11-06T05:40:00+00:00,17.0,1.0,1.0,33.6
2025-11-06T05:45:00+00:00,17.0,1.0,1.0,33.569
2025-11-06T05:50:00+00:00,17.0,1.0,1.0,33.643
2025-11-06T05:55:00+00:00,17.0,1.0,1.0,33.6
2025-11-06T06:00:00+00:00,17.0,1.0,1.0,33.619
2025-11-06T06:05:00+00:00,17.0,1.0,1.0,33.589
2025-11-06T06:10:00+00:00,17.0,1.0,1.0,33.442
2025-11-06T06:15:00+00:00,17.0,1.0,1.0,33.358
2025-11-06T06:20:00+00:00,17.0,1.0,1.0,33.361
2025-11-06T06:25:00+00:00,17.0,1.0,1.0,33.369
2025-11-06T06:30:00+00:00,17.0,1.0,1.0,33.304
2025-11-06T06:35:00+00:00,17.0,1.0,1.0,33.751
2025-11-06T06:40:00+00:00,17.0,1.0,1.0,33.664
2025-11-06T06:45:00+00:00,17.0,1.0,1.0,33.816
2025-11-06T06:50:00+00:00,17.0,1.0,1.0,34.0
2025-11-06T06:55:00+00:00,17.0,1.0,1.0,34.0
2025-11-06T07:00:00+00:00,17.0,1.0,1.0,33.999
2025-11-06T07:05:00+00:00,17.0,1.0,1.0,33.865
