DNO,Site Functional Location,Grid Supply Point (GSP),Minimum Observed Power Flow,Maximum Observed Power Flow,Asset Import Limit,Asset Export Limit,Technical Limit Import Summer,Technical Limit Import Winter,Technical Limit Import Access Period,Technical Limit Export,Export Capacity Utilisation,Import Capacity Utilisation,Technical Limits Available,Geo Point
LPN,LPN-S000000003360,LODGE ROAD,104.53,292.15,900,900,N/A,N/A,N/A,N/A,0.0,32.461287816365555,RED,"51.528441, -0.1705298"
EPN,EPN-S0000000C8079,MILL HILL,75.1,214.81,600,600,N/A,N/A,N/A,N/A,0.0,35.80205690275612,RED,"51.6178349879328, -0.208806961554568"
SPN,SPN-S000000009962,SELLINDGE,62.19,175.86,240,240,210,275.8,254.8,67.7,0.0,73.27449486094459,GREEN,"51.1054012014103, 0.975233567955561"
LPN,LPN-S000000003385,ST JOHNS WOOD,258.38,596.98,1200,1200,N/A,N/A,N/A,N/A,0.0,49.74852026099032,RED,"51.527102, -0.17173678"
EPN,EPN-S0000000C6047,WALPOLE,-382.73,337.91,960,960,N/A,N/A,N/A,N/A,39.86737245285345,35.19886061090872,RED,"52.727297031743, 0.198380468374141"
EPN,EPN-S0000000C7159,WARLEY,67.86,192.65,480,240,158.1,212.4,200.4,183.1,0.0,40.136012136227016,GREEN,"51.5531110488139, 0.300603163104788"
EPN,EPN-S0000000G7082,WEST THURROCK,0.04,32.86,100,100,N/A,N/A,N/A,N/A,0.0,32.86176694510192,RED,"51.4709973258718, 0.288016563709523"
LPN,LPN-S000000003298,WILLESDEN 132,68.66,176.9,720,720,N/A,N/A,N/A,N/A,0.0,24.568833596033905,RED,"51.5339706787026, -0.258232266380087"
LPN,LPN-S000000004098,WIMBLEDON 1&2,75.09,250.71,180,180,N/A,N/A,N/A,N/A,0.0,139.28345229769445,RED,"51.4302789569235, -0.187620568194728"
LPN,LPN-S000000004099,WIMBLEDON 3&4,121.87,507.01,720,720,N/A,N/A,N/A,N/A,0.0,70.41745033647335,RED,"51.4302789569235, -0.187620568194728"
