Date,SettlementPeriod,BCA,BSA,BVA,SCA,SSA,SVA
2021-08-06,1,0,385,0,74.68,810,750
2021-08-06,2,0,385,0,74.68,810,750
2021-08-06,3,0,385,0,541.18,810,750
2021-08-06,4,0,385,0,541.18,810,750
2021-08-06,5,0,385,0,17613.3,810,750
2021-08-06,6,0,385,0,17613.3,810,750
2021-08-06,7,0,385,0,18677.29,810,750
2021-08-06,8,0,385,0,18677.29,810,750
2021-08-06,9,0,385,0,3670.13,810,750
2021-08-06,10,0,385,0,3670.13,810,750
2021-08-06,11,0,385,0,8930.22,810,750
2021-08-06,12,0,385,0,8930.22,810,750
2021-08-06,13,0,385,0,11102.06,635,500
2021-08-06,14,0,385,0,11102.06,635,500
2021-08-06,15,0,0,0,0,385,0
2021-08-06,16,0,0,0,0,385,0
2021-08-06,17,0,0,0,0,322.5,0
2021-08-06,18,0,0,0,0,322.5,0
2021-08-06,19,0,0,0,0,260,0
2021-08-06,20,0,0,0,0,260,0
2021-08-06,21,0,0,0,0,260,0
2021-08-06,22,0,0,0,0,260,0
2021-08-06,23,0,0,0,0,260,0
2021-08-06,24,0,0,0,0,260,0
2021-08-06,25,0,0,0,0,322.5,0
2021-08-06,26,0,0,0,0,322.5,0
2021-08-06,27,0,0,0,0,385,0
2021-08-06,28,0,0,0,0,385,0
2021-08-06,29,0,0,0,0,510,0
2021-08-06,30,0,0,0,0,510,0
2021-08-06,31,0,0,0,0,510,0
2021-08-06,32,0,0,0,0,510,0
2021-08-06,33,0,0,0,0,520,0
2021-08-06,34,0,0,0,0,520,0
2021-08-06,35,0,0,0,0,395,0
2021-08-06,36,0,0,0,0,395,0
2021-08-06,37,0,0,0,0,395,0
2021-08-06,38,0,0,0,0,395,0
2021-08-06,39,0,0,0,0,520,0
2021-08-06,40,0,0,0,0,520,0
2021-08-06,41,0,0,0,0,520,0
2021-08-06,42,0,0,0,0,520,0
2021-08-06,43,0,0,0,0,635,0
2021-08-06,44,0,0,0,0,635,0
2021-08-06,45,0,0,0,0,810,0
2021-08-06,46,0,0,0,0,810,0
2021-08-06,47,0,488,0,41223.75,810,1000
2021-08-06,48,0,488,0,41223.75,810,1000
2021-08-08,1,0,585.5,0,9801.21,810,750
2021-08-08,2,0,585.5,0,9801.21,810,750
2021-08-08,3,0,585.5,0,31676.23,810,1250
2021-08-08,4,0,585.5,0,31676.23,810,1250
2021-08-08,5,0,585.5,0,58805.93,810,1650
2021-08-08,6,0,585.5,0,58805.93,810,1650
2021-08-08,7,0,585.5,0,62131.64,810,1650
2021-08-08,8,0,585.5,0,62131.64,810,1650
2021-08-08,9,0,585.5,0,61595.4,807.5,1650
2021-08-08,10,0,585.5,0,61595.4,807.5,1650
2021-08-08,11,0,585.5,0,67138.33,810,1650
2021-08-08,12,0,585.5,0,67138.33,810,1650
2021-08-08,13,0,585.5,0,39249.56,810,1250
2021-08-08,14,0,585.5,0,39249.56,810,1250
2021-08-08,15,0,585.5,0,44132.25,760,1250
2021-08-08,16,0,585.5,0,44132.25,760,1250
2021-08-08,17,0,0,0,0,760,0
2021-08-08,18,0,0,0,0,760,0
2021-08-08,19,0,0,0,0,760,0
2021-08-08,20,0,0,0,0,760,0
2021-08-08,21,0,0,0,0,760,0
2021-08-08,22,0,0,0,0,760,0
2021-08-08,23,0,0,0,0,760,0
2021-08-08,24,0,0,0,0,760,0
2021-08-08,25,0,0,0,0,760,0
2021-08-08,26,0,0,0,0,760,0
2021-08-08,27,0,0,0,0,760,0
2021-08-08,28,0,0,0,0,760,0
2021-08-08,29,0,0,0,0,760,0
2021-08-08,30,0,0,0,0,760,0
2021-08-08,31,0,0,0,0,760,0
2021-08-08,32,0,0,0,0,760,0
2021-08-08,33,0,0,0,0,520,0
2021-08-08,34,0,0,0,0,520,0
2021-08-08,35,0,0,0,0,520,0
2021-08-08,36,0,0,0,0,520,0
2021-08-08,37,0,0,0,0,520,0
2021-08-08,38,0,0,0,0,520,0
2021-08-08,39,0,0,0,0,520,0
2021-08-08,40,0,0,0,0,520,0
2021-08-08,41,0,0,0,0,645,0
2021-08-08,42,0,0,0,0,645,0
2021-08-08,43,0,0,0,0,635,0
2021-08-08,44,0,0,0,0,635,0
2021-08-08,45,0,0,0,0,760,0
2021-08-08,46,0,0,0,0,760,0
2021-08-08,47,0,598,0,11828.04,810,350
2021-08-08,48,0,598,0,11828.04,810,350
2021-08-07,1,0,488,0,30869.74,810,800
2021-08-07,2,0,488,0,30869.74,810,800
2021-08-07,3,0,488,0,37952.15,810,1100
2021-08-07,4,0,488,0,37952.15,810,1100
2021-08-07,5,0,488,0,26431.88,810,1200
2021-08-07,6,0,488,0,26431.88,810,1200
2021-08-07,7,0,488,0,20263.74,810,1350
2021-08-07,8,0,488,0,20263.74,810,1350
2021-08-07,9,0,488,0,21709.61,810,1350
2021-08-07,10,0,488,0,21709.61,810,1350
2021-08-07,11,0,488,0,17532.56,810,1350
2021-08-07,12,0,488,0,17532.56,810,1350
2021-08-07,13,0,488,0,10025.48,810,1350
2021-08-07,14,0,488,0,10025.48,810,1350
2021-08-07,15,0,488,0,13554.64,810,500
2021-08-07,16,0,488,0,13554.64,810,500
2021-08-07,17,0,0,0,0,810,0
2021-08-07,18,0,0,0,0,810,0
2021-08-07,19,0,0,0,0,810,0
2021-08-07,20,0,0,0,0,810,0
2021-08-07,21,0,0,0,0,810,0
2021-08-07,22,0,0,0,0,810,0
2021-08-07,23,0,0,0,0,810,0
2021-08-07,24,0,0,0,0,810,0
2021-08-07,25,0,0,0,0,810,0
2021-08-07,26,0,0,0,0,810,0
2021-08-07,27,0,0,0,0,635,0
2021-08-07,28,0,0,0,0,635,0
2021-08-07,29,0,0,0,0,635,0
2021-08-07,30,0,0,0,0,635,0
2021-08-07,31,0,0,0,0,635,0
2021-08-07,32,0,0,0,0,635,0
2021-08-07,33,0,0,0,0,645,0
2021-08-07,34,0,0,0,0,645,0
2021-08-07,35,0,0,0,0,520,0
2021-08-07,36,0,0,0,0,520,0
2021-08-07,37,0,0,0,0,520,0
2021-08-07,38,0,0,0,0,520,0
2021-08-07,39,0,0,0,0,645,0
2021-08-07,40,0,0,0,0,645,0
2021-08-07,41,0,0,0,0,645,0
2021-08-07,42,0,0,0,0,645,0
2021-08-07,43,0,0,0,0,635,0
2021-08-07,44,0,0,0,0,635,0
2021-08-07,45,0,0,0,0,760,0
2021-08-07,46,0,0,0,0,760,0
2021-08-07,47,0,585.5,0,1560.5,810,400
2021-08-07,48,0,585.5,0,1560.5,810,400
2021-08-09,1,0,598,0,11560.28,810,400
2021-08-09,2,0,598,0,11560.28,810,400
2021-08-09,3,0,598,0,11566.98,810,400
2021-08-09,4,0,598,0,11566.98,810,400
2021-08-09,5,0,598,0,9494.2,810,400
2021-08-09,6,0,598,0,9494.2,810,400
2021-08-09,7,0,598,0,6357.21,810,400
2021-08-09,8,0,598,0,6357.21,810,400
2021-08-09,9,0,598,0,15173.71,810,400
2021-08-09,10,0,598,0,15173.71,810,400
2021-08-09,11,0,598,0,22566.53,810,400
2021-08-09,12,0,598,0,22566.53,810,400
2021-08-09,13,0,598,0,0,510,0
2021-08-09,14,0,598,0,0,510,0
2021-08-09,15,0,0,0,0,135,0
2021-08-09,16,0,0,0,0,135,0
2021-08-09,17,0,0,0,0,0,0
2021-08-09,18,0,0,0,0,0,0
2021-08-09,19,0,0,0,0,0,0
2021-08-09,20,0,0,0,0,0,0
2021-08-09,21,0,0,0,0,0,0
2021-08-09,22,0,0,0,0,0,0
2021-08-09,23,0,0,0,0,0,0
2021-08-09,24,0,0,0,0,0,0
2021-08-09,25,0,0,0,0,0,0
2021-08-09,26,0,0,0,0,0,0
2021-08-09,27,0,0,0,0,0,0
2021-08-09,28,0,0,0,0,0,0
2021-08-09,29,0,0,0,0,0,0
2021-08-09,30,0,0,0,0,0,0
2021-08-09,31,0,0,0,0,0,0
2021-08-09,32,0,0,0,0,0,0
2021-08-09,33,0,0,0,0,0,0
2021-08-09,34,0,0,0,0,0,0
2021-08-09,35,0,0,0,0,0,0
2021-08-09,36,0,0,0,0,0,0
